,Rock lobster,Slope small demersal piscivores,Long-nosed fur seal,Macroalgae,Slope small demersal invertivores,Seagrass,Detritus,Import,Slope large demersal omnivores,Octopus shelf,Shelf filter feeders,Tunas and billfish,Migratory mesopelagics,Shelf small demersal omnivores,Shelf large pelagic piscivores,Skates and rays,Shelf pelagic sharks,Benthic carnivores (infauna),Garfish,Squid & cuttlefish shelf,Benthic detritivore,Shearwaters,Little Penguins,Detritus POM,Gelatinous zooplankton,Baleen whales,Small petrels,Gulls,Western king prawn,Large zooplankton,Shags and cormorants,Bottlenose dolphins,Anchovy and other small pelagics,Shelf small demersal piscivores,Gannets,Pelagic bacteria,Common dolphins,Shelf demersal sharks,Benthic grazers,Deep demersal sharks,Small phytoplankton,Large phytoplankton,Deep filter feeders,Redbait,Crabs & bugs,Shelf macrozoobenthos,Microzooplankton,Offshore pelagic invertivores large,Non-migrating mesopelagics,Deep squid,Deep macrozoobenthos,Albatross,Offshore pelagic sharks,Offshore pelagic piscivores,Australian fur seal,Meiobenthos,Toothed whales,Shelf large demersal omnivores,Mackerels,Shelf large demersal piscivores,Mesozooplankton,Australian sea lion
Rock lobster,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04545454545454544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04651162790697674,0.0,0.0,0.0,0.0,0.0,0.0,0.07999999999999999
Slope small demersal piscivores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018691588785046724,0.0,0.020833333333333325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010416666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Long-nosed fur seal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019047619047619042,0.0,0.0,0.0,0.0,0.0
Macroalgae,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11214953271028034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.037499999999999985,0.0,0.15,0.13999999999999999,0.005000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slope small demersal invertivores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seagrass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009345794392523362,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01648351648351648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Detritus,0.12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.29999999999999993,0.0,0.10416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.04999999999999999,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.01648351648351648,0.3,0.0,0.03,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.02,0.0
Import,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slope large demersal omnivores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Octopus shelf,0.0,0.0,0.08695652173913042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.009345794392523362,0.0,0.020833333333333325,0.01538461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0297029702970297,0.0,0.011764705882352941,0.0,0.0,0.009900990099009901,0.06593406593406592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010416666666666664,0.0,0.0,0.0,0.0,0.04651162790697674,0.0,0.04761904761904761,0.03999999999999998,0.0,0.0,0.0,0.07999999999999999
Shelf filter feeders,0.37,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.029999999999999992,0.18181818181818177,0.020833333333333332,0.0,0.009999999999999998,0.03738317757009345,0.0,0.052083333333333315,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.010989010989010986,0.0,0.07,0.0,0.0,0.08,0.0,0.0,0.15,0.0,0.0,0.0,0.009900990099009901,0.05494505494505494,0.05,0.0,0.0,0.0,0.02499999999999999,0.0,0.2,0.09999999999999998,0.0,0.034482758620689655,0.0,0.0,0.019999999999999997,0.0,0.0,0.06999999999999999,0.0,0.0,0.028571428571428564,0.04999999999999998,0.0,0.02,0.0,0.0
Tunas and billfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08717948717948716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01089108910891089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004999999999999999,0.0,0.0,0.0,0.038095238095238085,0.0,0.0,0.0,0.0,0.0
Migratory mesopelagics,0.0,0.13684210526315788,0.3188405797101449,0.0,0.15,0.0,0.0,0.0,0.30999999999999994,0.07575757575757575,0.0,0.07999999999999999,0.039999999999999994,0.05607476635514017,0.0,0.2499999999999999,0.0,0.0,0.0,0.0,0.0,0.1,0.075,0.0,0.0,0.05,0.2,0.0,0.0,0.03,0.01,0.01089108910891089,0.0,0.09411764705882353,0.0,0.0,0.2079207920792079,0.06593406593406592,0.0,0.10416666666666663,0.0,0.0,0.0,0.33,0.03,0.04999999999999999,0.0,0.0,0.18,0.12499999999999997,0.10999999999999997,0.15,0.0,0.09999999999999998,0.02325581395348837,0.0,0.06666666666666665,0.09999999999999996,0.0,0.0,0.0,0.0
Shelf small demersal omnivores,0.0,0.021052631578947364,0.02898550724637681,0.0,0.0,0.0,0.0,0.0,0.0,0.07575757575757575,0.0,0.04999999999999999,0.0,0.018691588785046724,0.0,0.031249999999999986,0.051282051282051266,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14999999999999997,0.0,0.0,0.05,0.0297029702970297,0.0,0.30588235294117644,0.23,0.0,0.2079207920792079,0.0,0.0,0.06249999999999997,0.0,0.01,0.0,0.0,0.02,0.0,0.020000000000000004,0.0,0.0,0.010416666666666664,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.04761904761904761,0.07999999999999996,0.010989010989010988,0.0,0.0,0.0
Shelf large pelagic piscivores,0.0,0.0,0.05797101449275362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16999999999999998,0.0,0.0,0.0,0.06249999999999997,0.25641025641025633,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.12999999999999998,0.0,0.0,0.0,0.04950495049504951,0.0,0.0,0.17,0.0,0.04950495049504951,0.0,0.0,0.07291666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.010416666666666664,0.0,0.0,0.19999999999999996,0.0,0.18604651162790695,0.0,0.028571428571428564,0.0,0.07692307692307691,0.0,0.0,0.0
