,Shelf small demersal piscivores,Anchovy and other small pelagics,Shelf large demersal omnivores,Squid & cuttlefish shelf,Mesozooplankton,Detritus POM,Redbait,Slope small demersal invertivores,Shelf pelagic sharks,Migratory mesopelagics,Microzooplankton,Pelagic bacteria,Large zooplankton,Non-migrating mesopelagics,Gulls,Deep demersal sharks,Skates and rays,Slope large demersal omnivores,Meiobenthos,Mackerels,Benthic grazers,Shelf macrozoobenthos,Deep squid,Toothed whales,Small phytoplankton,Shearwaters,Garfish,Common dolphins,Western king prawn,Benthic detritivore,Shelf large demersal piscivores,Slope small demersal piscivores,Tunas and billfish,Benthic carnivores (infauna),Long-nosed fur seal,Deep filter feeders,Shelf filter feeders,Rock lobster,Little Penguins,Offshore pelagic invertivores large,Bottlenose dolphins,Gannets,Seagrass,Baleen whales,Gelatinous zooplankton,Shags and cormorants,Small petrels,Large phytoplankton,Import,Shelf small demersal omnivores,Australian fur seal,Deep macrozoobenthos,Macroalgae,Albatross,Shelf demersal sharks,Australian sea lion,Offshore pelagic sharks,Detritus,Shelf large pelagic piscivores,Octopus shelf,Offshore pelagic piscivores,Crabs & bugs
Shelf small demersal piscivores,0.19999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.054054054054054036,0.0,0.0,0.0,0.0,0.0,0.07999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.475,0.0,0.0,0.12499999999999997,0.016949152542372878,0.0,0.0,0.03846153846153845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.1397849462365591,0.12,0.029999999999999992,0.0,0.1111111111111111,0.04761904761904761,0.0,0.0
Anchovy and other small pelagics,0.11999999999999997,0.019801980198019802,0.02777777777777777,0.1,0.0,0.0,0.0,0.0,0.027027027027027018,0.0,0.0,0.0,0.0,0.02,0.2599999999999999,0.06315789473684208,0.06999999999999999,0.0,0.0,0.09890109890109888,0.0,0.0,0.009900990099009901,0.0,0.0,0.15,0.0,0.015,0.0,0.0,0.04999999999999999,0.10169491525423727,0.11999999999999997,0.0,0.03846153846153845,0.0,0.0,0.0,0.4639175257731959,0.0,0.1,0.09,0.0,0.15,0.0,0.35,0.05,0.0,0.0,0.08333333333333333,0.12,0.0,0.0,0.0,0.04301075268817203,0.12,0.019999999999999997,0.0,0.16666666666666663,0.0,0.039999999999999994,0.0
Shelf large demersal omnivores,0.0,0.0,0.02777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07499999999999998,0.0,0.0,0.0,0.019230769230769225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Squid & cuttlefish shelf,0.039999999999999994,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06999999999999998,0.03157894736842104,0.0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.075,0.0,0.03,0.0,0.0,0.034999999999999996,0.016949152542372878,0.0,0.0,0.019230769230769225,0.0,0.0,0.0,0.12371134020618557,0.0,0.12,0.29,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.020833333333333332,0.1,0.040816326530612235,0.0,0.0,0.08602150537634407,0.0,0.0,0.0,0.08888888888888888,0.0,0.0,0.0
Mesozooplankton,0.09999999999999998,0.37623762376237624,0.13888888888888887,0.33,0.15,0.0,0.22,0.11999999999999997,0.0,0.37426900584795314,0.02,0.0,0.16574585635359113,0.17,0.03999999999999998,0.04210526315789472,0.0,0.07526881720430106,0.15,0.5604395604395603,0.0,0.10999999999999997,0.009900990099009901,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.029999999999999992,0.11864406779661016,0.06999999999999999,0.0,0.0,0.7225806451612902,0.25,0.0,0.0,0.15,0.0,0.0,0.0,0.2,0.32999999999999996,0.0,0.12,0.0,0.0,0.24999999999999997,0.0,0.1020408163265306,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666665,0.038095238095238085,0.019999999999999997,0.12
Detritus POM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Redbait,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slope small demersal invertivores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shelf pelagic sharks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08108108108108106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06999999999999999,0.0,0.0,0.0,0.0,0.0
Migratory mesopelagics,0.0,0.0,0.15277777777777773,0.0,0.0,0.0,0.33,0.06999999999999999,0.0,0.04678362573099414,0.0,0.0,0.02209944751381215,0.18,0.0,0.10526315789473681,0.23999999999999994,0.33333333333333326,0.0,0.0,0.0,0.039999999999999994,0.1188118811881188,0.15999999999999998,0.0,0.125,0.0,0.21,0.0,0.0,0.09999999999999998,0.22033898305084743,0.13999999999999999,0.0,0.10576923076923074,0.0,0.0,0.0,0.07731958762886598,0.0,0.0,0.0,0.0,0.05,0.0,0.075,0.2,0.0,0.0,0.031249999999999997,0.075,0.1224489795918367,0.0,0.15,0.06451612903225805,0.0,0.0,0.0,0.08333333333333331,0.0,0.15999999999999998,0.0
