,Offshore pelagic invertivores large,Australian sea lion,Australian fur seal,Crabs & bugs,Large zooplankton,Long-nosed fur seal,Deep squid,Benthic grazers,Non-migrating mesopelagics,Octopus shelf,Benthic carnivores (infauna),Shelf macrozoobenthos,Seagrass,Skates and rays,Redbait,Baleen whales,Slope small demersal invertivores,Shelf small demersal piscivores,Toothed whales,Shelf large demersal piscivores,Rock lobster,Garfish,Gannets,Microzooplankton,Detritus POM,Slope small demersal piscivores,Shelf filter feeders,Squid & cuttlefish shelf,Detritus,Gulls,Shelf large pelagic piscivores,Little Penguins,Migratory mesopelagics,Albatross,Import,Meiobenthos,Benthic detritivore,Offshore pelagic piscivores,Large phytoplankton,Deep macrozoobenthos,Gelatinous zooplankton,Tunas and billfish,Mackerels,Western king prawn,Deep demersal sharks,Shelf demersal sharks,Slope large demersal omnivores,Small phytoplankton,Shelf small demersal omnivores,Bottlenose dolphins,Small petrels,Macroalgae,Anchovy and other small pelagics,Common dolphins,Shelf pelagic sharks,Shags and cormorants,Shearwaters,Offshore pelagic sharks,Pelagic bacteria,Deep filter feeders,Mesozooplankton,Shelf large demersal omnivores
Offshore pelagic invertivores large,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australian sea lion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australian fur seal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Crabs & bugs,0.23,0.04,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.08988764044943819,0.0,0.0,0.0,0.02499999999999999,0.0,0.0,0.0,0.0,0.0,0.04040404040404039,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.06999999999999999,0.04999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.02,0.03296703296703296,0.0,0.01999999999999999,0.14583333333333334,0.0,0.0,0.0,0.04,0.0,0.0,0.0049504950495049506,0.0,0.0,0.0,0.01,0.052083333333333336,0.0,0.012499999999999995,0.0,0.059405940594059375
Large zooplankton,0.02,0.0,0.0,0.03,0.03,0.1,0.04950495049504951,0.0,0.1,0.0,0.0,0.06999999999999998,0.0,0.08749999999999998,0.33,0.45,0.11999999999999997,0.05,0.06122448979591835,0.03535353535353534,0.0,0.0,0.0,0.0,0.0,0.13,0.02,0.0,0.0,0.0,0.059999999999999984,0.07142857142857144,0.4545454545454546,0.08247422680412371,0.0,0.0,0.0,0.35294117647058826,0.0,0.11999999999999997,0.02,0.15,0.03296703296703296,0.0,0.04999999999999998,0.0,0.30999999999999994,0.0,0.04999999999999999,0.02,0.2,0.0,0.019801980198019802,0.01485148514851485,0.10999999999999997,0.03,0.1,0.0,0.0,0.04999999999999998,0.05,0.06930693069306929
Long-nosed fur seal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020408163265306117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deep squid,0.0,0.0,0.0,0.0,0.0,0.25,0.0891089108910891,0.0,0.12,0.0,0.0,0.0,0.0,0.02499999999999999,0.0,0.05,0.0,0.0,0.21428571428571425,0.020202020202020193,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12244897959183673,0.011363636363636364,0.36082474226804123,0.0,0.0,0.0,0.11764705882352942,0.0,0.10999999999999997,0.0,0.25,0.0,0.0,0.07999999999999996,0.0,0.06999999999999999,0.0,0.0,0.0,0.15,0.0,0.0,0.10891089108910891,0.039999999999999994,0.0,0.1,0.017361111111111112,0.0,0.0,0.0,0.049504950495049486
Benthic grazers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03370786516853932,0.0,0.029999999999999985,0.0,0.012499999999999995,0.0,0.0,0.0,0.0,0.0,0.016161616161616155,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037499999999999985,0.0,0.0
Non-migrating mesopelagics,0.0,0.0,0.05,0.0,0.0,0.01,0.04950495049504951,0.0,0.08,0.0,0.0,0.0,0.0,0.04374999999999999,0.0,0.03,0.0,0.04,0.11224489795918365,0.05555555555555553,0.0,0.0,0.29,0.0,0.0,0.01,0.0,0.0,0.0,0.07999999999999999,0.029999999999999992,0.12755102040816327,0.011363636363636364,0.10309278350515465,0.0,0.0,0.0,0.11764705882352942,0.0,0.07999999999999999,0.0,0.03,0.07692307692307691,0.0,0.07999999999999996,0.0,0.039999999999999994,0.0,0.0,0.075,0.125,0.0,0.0,0.04950495049504951,0.0,0.05,0.125,0.010416666666666668,0.0,0.0,0.0,0.06930693069306929
Octopus shelf,0.0,0.08,0.08,0.0,0.0,0.15,0.009900990099009901,0.0,0.0,0.05617977528089887,0.0,0.0,0.0,0.012499999999999995,0.0,0.0,0.0,0.0,0.07142857142857142,0.020202020202020193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.029999999999999985,0.03125,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.009900990099009901,0.039999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.029702970297029688
