,Meiobenthos,Bottlenose dolphins,Import,Offshore pelagic invertivores large,Slope small demersal piscivores,Shelf small demersal omnivores,Small petrels,Anchovy and other small pelagics,Seagrass,Baleen whales,Shelf demersal sharks,Detritus POM,Small phytoplankton,Octopus shelf,Squid & cuttlefish shelf,Shelf small demersal piscivores,Gulls,Skates and rays,Shelf large demersal piscivores,Shelf large demersal omnivores,Offshore pelagic piscivores,Mesozooplankton,Deep filter feeders,Slope small demersal invertivores,Detritus,Shags and cormorants,Garfish,Microzooplankton,Mackerels,Migratory mesopelagics,Macroalgae,Slope large demersal omnivores,Shelf pelagic sharks,Long-nosed fur seal,Deep macrozoobenthos,Non-migrating mesopelagics,Deep squid,Gelatinous zooplankton,Common dolphins,Shearwaters,Redbait,Toothed whales,Benthic carnivores (infauna),Benthic grazers,Tunas and billfish,Shelf filter feeders,Gannets,Benthic detritivore,Pelagic bacteria,Large phytoplankton,Rock lobster,Little Penguins,Australian fur seal,Large zooplankton,Crabs & bugs,Deep demersal sharks,Offshore pelagic sharks,Australian sea lion,Shelf macrozoobenthos,Albatross,Western king prawn,Shelf large pelagic piscivores
Meiobenthos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bottlenose dolphins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008610086100861006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011764705882352941
Import,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.07999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Offshore pelagic invertivores large,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slope small demersal piscivores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.04,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06185567010309277,0.0,0.0
Shelf small demersal omnivores,0.0,0.12,0.0,0.0,0.033898305084745756,0.0,0.0,0.0,0.0,0.0,0.10126582278481008,0.0,0.0,0.05208333333333333,0.0,0.19999999999999996,0.0,0.019999999999999997,0.0,0.06060606060606058,0.07619047619047618,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.010989010989010988,0.0,0.0,0.0,0.043050430504305036,0.0,0.0,0.0,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.012,0.0,0.0,0.07999999999999996,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Small petrels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029999999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010309278350515462,0.0,0.047058823529411764
Anchovy and other small pelagics,0.0,0.08,0.0,0.0,0.10169491525423727,0.0,0.08,0.02,0.0,0.1,0.07594936708860757,0.0,0.0,0.0,0.0,0.07999999999999999,0.24999999999999994,0.06999999999999999,0.04,0.020202020202020193,0.047619047619047616,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.09890109890109888,0.0,0.0,0.0,0.2435424354243542,0.0,0.0,0.03,0.009900990099009901,0.0,0.04950495049504951,0.25,0.0,0.03,0.0,0.0,0.35,0.0,0.09,0.0,0.0,0.0,0.0,0.7599999999999998,0.06999999999999998,0.0,0.0,0.04,0.01,0.12000000000000002,0.0,0.0,0.0,0.2941176470588235
Seagrass,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.01265822784810126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
Baleen whales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007380073800738006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shelf demersal sharks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037974683544303785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01999999999999999,0.0,0.0,0.0,0.21,0.08000000000000002,0.0,0.0,0.0,0.0
Detritus POM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Small phytoplankton,0.0,0.0,0.0,0.0,0.0,0.005102040816326529,0.0,0.04,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.022471910112359546,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.023529411764705875,0.0,0.0,0.15,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.16999999999999998,0.0,0.0,0.0,0.145,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.03999999999999998,0.0,0.0,0.0
Octopus shelf,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02531645569620252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03030303030303029,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022140221402214017,0.1,0.0,0.0,0.009900990099009901,0.0,0.009900990099009901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06999999999999998,0.0,0.0,0.0,0.0,0.12000000000000002,0.0,0.0,0.0,0.0
Squid & cuttlefish shelf,0.0,0.1,0.0,0.0,0.016949152542372878,0.010204081632653059,0.0,0.0,0.0,0.0,0.05063291139240504,0.0,0.0,0.0,0.0,0.04999999999999999,0.07999999999999999,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.02460024600246002,0.0,0.058823529411764684,0.0,0.009900990099009901,0.0,0.0297029702970297,0.15,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06999999999999999,0.03999999999999998,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.058823529411764705
Shelf small demersal piscivores,0.0,0.0,0.0,0.0,0.016949152542372878,0.0,0.0,0.0,0.0,0.0,0.0632911392405063,0.0,0.0,0.0,0.0,0.0,0.09999999999999998,0.0,0.3,0.04040404040404039,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.22755227552275517,0.03,0.0,0.0,0.0,0.0,0.4059405940594059,0.07,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.02,0.12000000000000002,0.0,0.04123711340206185,0.0,0.11764705882352941
Gulls,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047058823529411764
Skates and rays,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007380073800738006,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01999999999999999,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
Shelf large demersal piscivores,0.25,0.3,0.0,0.0,0.033898305084745756,0.0,0.0,0.0,0.0,0.0,0.0632911392405063,0.0,0.0,0.0,0.0,0.11999999999999997,0.0,0.07999999999999999,0.0,0.04040404040404039,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010989010989010988,0.04999999999999999,0.0,0.0,0.03690036900369003,0.08,0.0,0.0,0.009900990099009901,0.0,0.0297029702970297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.11999999999999994,0.0,0.0,0.0,0.0,0.12000000000000002,0.0,0.05154639175257731,0.0,0.0
Shelf large demersal omnivores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01265822784810126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.020202020202020193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
