,Macrozoobenthos,Nanoplankton,Jellyfish,Benthic filter feeders,Detritus,Macroalgae,Seabirds,Deposit feeders,Meiobenthos,Benthic infaunal carnivores,Bacteria,Deep demersal fish,Nano-Picoplankton,Prawns,Shallow demersal fish,Herbivorous demersal fish,Cephalopods,Baleen whales,Piscivores,Larvaceans,Microzooplankton,Microplankton,Oceanic piscivorous fish,Pelagic sharks,Mesozooplankton,Planktivores,Benthivores,Demersal sharks,Marine reptiles,Skates and rays,Seagrass,Mesopelagic fish,Benthic grazers,Toothed whales and dolphins
Macrozoobenthos,0.059999999999999984,0.0,0.24,0.01,0.0,0.0,0.025510204081632654,0.0,0.0,0.15217391304347824,0.0,0.02,0.0,0.15,0.06999999999999999,0.03,0.06999999999999998,0.0,0.04,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.6185567010309277,0.1,0.14999999999999997,0.2,0.0,0.0,0.04,0.0
Nanoplankton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jellyfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03999999999999998,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.02,0.14999999999999997,0.0,0.0,0.0,0.0,0.0
Benthic filter feeders,0.10999999999999997,0.0,0.04,0.0,0.0,0.0,0.08163265306122448,0.0,0.04,0.22826086956521735,0.0,0.12,0.0,0.1,0.039999999999999994,0.15,0.2199999999999999,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.02,0.05,0.06185567010309278,0.03,0.04999999999999999,0.15,0.0,0.0,0.13,0.0
Detritus,0.27999999999999997,0.0,0.0,0.03,1.0,1.0,0.0,0.6,0.3,0.0,1.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Macroalgae,0.33999999999999997,0.25,0.0,0.04,0.0,0.0,0.0,0.2,0.09,0.04347826086956521,0.0,0.0,0.0,0.08,0.11999999999999997,0.35,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.03092783505154639,0.0,0.014999999999999996,0.0,0.0,0.0,0.23,0.0
Seabirds,0.0,0.0,0.0,0.0,0.0,0.0,0.16326530612244897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit feeders,0.059999999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.06521739130434781,0.0,0.0,0.0,0.02,0.039999999999999994,0.03,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.01,0.020618556701030927,0.04,0.0,0.05,0.0,0.015384615384615382,0.01,0.0
Meiobenthos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benthic infaunal carnivores,0.019999999999999997,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.06521739130434781,0.0,0.0,0.0,0.03,0.029999999999999992,0.0,0.09999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.020618556701030927,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,0.04999999999999999,0.5,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.33,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.2,0.01,0.0,0.0,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
Deep demersal fish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.0,0.0,0.0,0.1,0.0,0.05,0.0,0.23076923076923073,0.0,0.0
Nano-Picoplankton,0.0,0.25,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.15,0.06,0.0,0.0,0.15,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prawns,0.0,0.0,0.0,0.0,0.0,0.0,0.025510204081632654,0.0,0.0,0.0,0.0,0.25,0.0,0.05,0.04999999999999999,0.02,0.05999999999999997,0.0,0.02,0.0,0.0,0.0,0.1,0.04,0.0,0.0,0.010309278350515464,0.15,0.0,0.0,0.0,0.0,0.0,0.02
Shallow demersal fish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999998,0.0,0.029999999999999985,0.0,0.1,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.020618556701030927,0.0,0.0,0.0,0.0,0.04615384615384614,0.0,0.02
