,Larvaceans,Baleen whales,Detritus,Seabirds,Nanoplankton,Mesopelagic fish,Microzooplankton,Pelagic sharks,Meiobenthos,Benthic infaunal carnivores,Prawns,Cephalopods,Microplankton,Benthic grazers,Deep demersal fish,Mesozooplankton,Oceanic piscivorous fish,Jellyfish,Bacteria,Piscivores,Demersal sharks,Benthic filter feeders,Skates and rays,Herbivorous demersal fish,Marine reptiles,Macroalgae,Nano-Picoplankton,Macrozoobenthos,Toothed whales and dolphins,Seagrass,Planktivores,Deposit feeders,Benthivores,Shallow demersal fish
Larvaceans,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0
Baleen whales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Detritus,0.0,0.0,1.0,0.0,0.0,0.0,0.62,0.0,0.25,0.12,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.04,0.0,0.13725490196078433,0.0,0.0,0.45,0.04395604395604394,0.0,0.0,0.0,0.5,0.0,0.0
Seabirds,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nanoplankton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mesopelagic fish,0.0,0.020000000000000004,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.1590909090909091,0.0,0.01219512195121951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0
Microzooplankton,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.010638297872340425,0.01,0.0,0.12,0.0,0.01,0.0,0.0,0.0,0.08,0.0,0.00980392156862745,0.0,0.0,0.0,0.04395604395604394,0.0,0.0,0.0,0.0,0.0,0.0
Pelagic sharks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0
Meiobenthos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
Benthic infaunal carnivores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.039999999999999994,0.12,0.0,0.0,0.022727272727272724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.004901960784313725,0.0,0.0,0.0,0.05494505494505492,0.0,0.0,0.0,0.0,0.020618556701030927,0.019047619047619046
