,Microzooplankton,Mesopelagic fish,Herbivorous demersal fish,Seabirds,Macrozoobenthos,Demersal sharks,Piscivores,Cephalopods,Planktivores,Skates and rays,Baleen whales,Macroalgae,Benthic grazers,Pelagic sharks,Larvaceans,Bacteria,Deposit feeders,Microplankton,Seagrass,Mesozooplankton,Shallow demersal fish,Prawns,Meiobenthos,Benthivores,Jellyfish,Deep demersal fish,Nano-Picoplankton,Detritus,Benthic infaunal carnivores,Oceanic piscivorous fish,Marine reptiles,Toothed whales and dolphins,Benthic filter feeders,Nanoplankton
Microzooplankton,0.0,0.0,0.03,0.0,0.009999999999999998,0.0,0.0,0.0,0.012195121951219511,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.08,0.0,0.1,0.33999999999999997,0.0,0.13333333333333333,0.0,0.01,0.0,0.0,0.0,0.13636363636363635,0.0,0.0,0.0,0.08,0.0
Mesopelagic fish,0.0,0.06578947368421052,0.0,0.0,0.0,0.019999999999999997,0.0,0.058823529411764705,0.0,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0
Herbivorous demersal fish,0.0,0.0,0.0,0.0,0.0,0.0,0.13157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058139534883720916,0.0,0.0,0.0,0.0
Seabirds,0.0,0.0,0.0,0.16161616161616157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Macrozoobenthos,0.0,0.0,0.04,0.03535353535353535,0.059999999999999984,0.11999999999999997,0.05263157894736842,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04999999999999999,0.15,0.0,0.5979381443298968,0.24,0.0,0.0,0.0,0.1590909090909091,0.02034883720930232,0.0,0.01,0.0,0.0
Demersal sharks,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Piscivores,0.0,0.0,0.0,0.0,0.0,0.0,0.07894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010309278350515464,0.0,0.05,0.0,0.0,0.0,0.02325581395348837,0.1333333333333333,0.08,0.0,0.0
Cephalopods,0.0,0.0,0.0,0.08080808080808079,0.0,0.24999999999999994,0.013157894736842105,0.07058823529411763,0.0,0.12,0.08000000000000002,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.043604651162790685,0.0,0.3,0.0,0.0
Planktivores,0.0,0.0,0.0,0.1767676767676767,0.0,0.04999999999999999,0.13157894736842105,0.0,0.0,0.1,0.35000000000000003,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.4,0.0,0.14999999999999997,0.02,0.0,0.020618556701030927,0.01,0.07,0.0,0.0,0.0,0.1453488372093023,0.06666666666666665,0.03,0.0,0.0
Skates and rays,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baleen whales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Macroalgae,0.01,0.0,0.35,0.0,0.32999999999999996,0.0,0.0,0.0,0.048780487804878044,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.059999999999999984,0.08,0.0,0.03092783505154639,0.0,0.0,0.0,0.0,0.04545454545454545,0.0,0.03888888888888888,0.0,0.04,0.25
Benthic grazers,0.0,0.0,0.04,0.030303030303030297,0.07999999999999999,0.0,0.05263157894736842,0.10588235294117646,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029999999999999992,0.03,0.0,0.06185567010309278,0.0,0.02,0.0,0.0,0.06818181818181818,0.0,0.07777777777777777,0.0,0.0,0.0
Pelagic sharks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07777777777777777,0.03,0.0,0.0
Larvaceans,0.0,0.19736842105263155,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.011627906976744184,0.0,0.0,0.06,0.0
Bacteria,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.024390243902439022,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.1,0.37,0.05,0.05,0.0,0.0,0.39999999999999997,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.03,0.5
Deposit feeders,0.0,0.013157894736842103,0.05,0.0,0.059999999999999984,0.009999999999999998,0.0,0.023529411764705882,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.02,0.13333333333333333,0.020618556701030927,0.0,0.0,0.0,0.0,0.06818181818181818,0.0,0.055555555555555546,0.0,0.0,0.0
