,Jellyfish,Microplankton,Bacteria,Mesozooplankton,Larvaceans,Herbivorous demersal fish,Seabirds,Benthic grazers,Shallow demersal fish,Nano-Picoplankton,Benthivores,Baleen whales,Prawns,Macrozoobenthos,Microzooplankton,Benthic infaunal carnivores,Meiobenthos,Macroalgae,Mesopelagic fish,Skates and rays,Benthic filter feeders,Deposit feeders,Pelagic sharks,Seagrass,Planktivores,Detritus,Demersal sharks,Marine reptiles,Piscivores,Deep demersal fish,Oceanic piscivorous fish,Cephalopods,Nanoplankton,Toothed whales and dolphins
Jellyfish,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.15,0.0,0.0,0.019999999999999997,0.019999999999999997,0.0,0.0
Microplankton,0.18,0.0,0.18181818181818185,0.35,0.81,0.08,0.0,0.0,0.009345794392523362,0.11,0.0,0.0,0.029999999999999992,0.0,0.3,0.12499999999999999,0.15,0.0,0.02,0.0,0.36,0.18,0.0,0.0,0.21052631578947367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bacteria,0.0,0.37000000000000005,0.0,0.05,0.0,0.02,0.0,0.01,0.0,0.33,0.0,0.0,0.0,0.0049504950495049506,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.042105263157894736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Mesozooplankton,0.37,0.0,0.0,0.28,0.0,0.1,0.03,0.02,0.42990654205607465,0.11,0.12999999999999998,0.45,0.24999999999999994,0.0,0.0,0.0909090909090909,0.0,0.0,0.48,0.05,0.34,0.0,0.0,0.0,0.2631578947368421,0.0,0.03,0.05,0.1,0.08,0.10999999999999997,0.039999999999999994,0.0,0.0
Larvaceans,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.08421052631578947,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0
Herbivorous demersal fish,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.06999999999999999,0.0,0.0,0.0
Seabirds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benthic grazers,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.03738317757009345,0.0,0.10999999999999997,0.0,0.04999999999999999,0.06930693069306931,0.0,0.06818181818181818,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.029999999999999992,0.09999999999999998,0.0,0.0
Shallow demersal fish,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.09345794392523363,0.0,0.059999999999999984,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.25,0.0,0.0,0.0404040404040404,0.0,0.0,0.0,0.075,0.0,0.05,0.0,0.039999999999999994,0.09999999999999998,0.0,0.03
Nano-Picoplankton,0.0,0.30000000000000004,0.27272727272727276,0.15,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
