,Oceanic piscivorous fish,Herbivorous demersal fish,Meiobenthos,Deep demersal fish,Nanoplankton,Detritus,Macrozoobenthos,Deposit feeders,Benthivores,Mesozooplankton,Toothed whales and dolphins,Microzooplankton,Bacteria,Nano-Picoplankton,Baleen whales,Marine reptiles,Benthic filter feeders,Piscivores,Prawns,Skates and rays,Mesopelagic fish,Benthic grazers,Microplankton,Seabirds,Shallow demersal fish,Larvaceans,Jellyfish,Planktivores,Demersal sharks,Macroalgae,Benthic infaunal carnivores,Seagrass,Cephalopods,Pelagic sharks
Oceanic piscivorous fish,0.13,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.021276595744680847,0.0,0.35,0.0,0.0,0.0,0.15,0.0,0.0,0.12068965517241377,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.03,0.3535353535353535
Herbivorous demersal fish,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021276595744680847,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.1408045977011494,0.0,0.0,0.0,0.0,0.0425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meiobenthos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deep demersal fish,0.01,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.010638297872340424,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.050505050505050504
Nanoplankton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Detritus,0.0,0.0,0.39999999999999997,0.0,0.0,0.0,0.2525252525252525,0.3,0.0,0.02,0.0,0.61,0.6153846153846154,0.45,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.05,0.12,0.2,0.0,0.0
Macrozoobenthos,0.02,0.03,0.0,0.15,0.0,0.0,0.060606060606060594,0.0,0.3723404255319148,0.0,0.01,0.0,0.0,0.0,0.0,0.16666666666666663,0.01,0.045977011494252866,0.19999999999999996,0.2,0.0,0.0,0.0,0.06,0.03,0.0,0.24,0.0,0.15,0.0,0.14,0.0,0.06,0.0
Deposit feeders,0.0,0.05,0.06666666666666667,0.0,0.0,0.0,0.060606060606060594,0.0,0.042553191489361694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999999999999999,0.05,0.08,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.04,0.0,0.06,0.0,0.0,0.0
Benthivores,0.03,0.0,0.0,0.0,0.0,0.0,0.0707070707070707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18390804597701146,0.0,0.25,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.04,0.1515151515151515
Mesozooplankton,0.06,0.12,0.0,0.08,0.0,0.0,0.0,0.0,0.1382978723404255,0.28,0.0,0.0,0.0,0.11,0.45,0.05555555555555555,0.34,0.11494252873563215,0.24999999999999994,0.05,0.24,0.02,0.0,0.05,0.23,0.0,0.37,0.5555555555555555,0.03,0.0,0.08,0.2,0.04,0.0
