,Marine reptiles,Jellyfish,Benthic filter feeders,Microplankton,Deep demersal fish,Skates and rays,Microzooplankton,Shallow demersal fish,Deposit feeders,Piscivores,Bacteria,Macroalgae,Benthic grazers,Toothed whales and dolphins,Mesopelagic fish,Oceanic piscivorous fish,Prawns,Mesozooplankton,Pelagic sharks,Cephalopods,Pinnipeds,Nanoplankton,Macrozoobenthos,Benthivores,Larvaceans,Meiobenthos,Detritus,Benthic infaunal carnivores,Herbivorous demersal fish,Baleen whales,Seabirds,Seagrass,Demersal sharks,Benthic carnivores,Nano-Picoplankton,Planktivores
Marine reptiles,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030769230769230764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006060606060606059,0.0,0.0,0.0,0.0,0.0
Jellyfish,0.2,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.029999999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.012987012987012983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11688311688311688,0.07,0.0,0.012121212121212118,0.0,0.0,0.04999999999999999,0.0,0.0
Benthic filter feeders,0.15,0.0,0.0,0.0,0.04,0.02,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.11,0.029999999999999985,0.004926108374384236,0.0,0.025974025974025965,0.02,0.0,0.0,0.0,0.0,0.17,0.11999999999999997,0.0,0.0,0.0,0.051948051948051945,0.19,0.0,0.0,0.0,0.03,0.18999999999999995,0.0,0.025316455696202528
Microplankton,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.1,0.029999999999999992,0.0,0.0,0.01,0.0,0.004926108374384236,0.0,0.06493506493506492,0.35,0.0,0.0,0.0,0.0,0.11,0.0,0.79,0.4199999999999999,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.16999999999999998,0.0,0.15189873417721517
Deep demersal fish,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05999999999999997,0.0,0.0,0.0,0.0,0.030769230769230764,0.0,0.06999999999999999,0.0,0.0,0.029999999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
Skates and rays,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015384615384615382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
Microzooplankton,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.2,0.0,0.0,0.0,0.005,0.029999999999999985,0.4334975369458128,0.0,0.038961038961038946,0.15,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.12,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.029999999999999992,0.0,0.050632911392405056
Shallow demersal fish,0.03,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.10999999999999997,0.0,0.0,0.0,0.03999999999999998,0.009852216748768471,0.0,0.0,0.0,0.0,0.0,0.07999999999999999,0.0,0.0,0.029999999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.04848484848484847,0.0,0.0,0.019999999999999997,0.0,0.0
Deposit feeders,0.0,0.0,0.0,0.0,0.015,0.05,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.05194805194805193,0.0,0.0,0.0,0.0,0.0,0.05,0.07999999999999999,0.0,0.0,0.0,0.12987012987012989,0.05,0.0,0.0,0.0,0.0,0.059999999999999984,0.0,0.0
Piscivores,0.04,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.06999999999999999,0.0,0.0,0.0,0.07999999999999996,0.0,0.0,0.0,0.0,0.2769230769230769,0.0,0.08999999999999998,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.02,0.4242424242424241,0.4000000000000001,0.05,0.0,0.0,0.0
