,Toothed whales and dolphins,Planktivores,Meiobenthos,Benthivores,Mesopelagic fish,Nanoplankton,Detritus,Macrozoobenthos,Nano-Picoplankton,Benthic infaunal carnivores,Mesozooplankton,Benthic carnivores,Microplankton,Bacteria,Deep demersal fish,Deposit feeders,Cephalopods,Piscivores,Benthic filter feeders,Prawns,Larvaceans,Macroalgae,Pelagic sharks,Microzooplankton,Baleen whales,Shallow demersal fish,Pinnipeds,Demersal sharks,Benthic grazers,Oceanic piscivorous fish,Jellyfish,Herbivorous demersal fish,Seabirds,Skates and rays,Marine reptiles,Seagrass
Toothed whales and dolphins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0
Planktivores,0.14999999999999997,0.026699029126213584,0.0,0.019999999999999997,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.04999999999999999,0.0,0.0,0.0510204081632653,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.07999999999999999,0.08187134502923976,0.0,0.08947368421052632,0.0,0.03,0.09999999999999998,0.0,0.0,0.2
Meiobenthos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0510204081632653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benthivores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015789473684210527,0.0,0.0,0.0,0.04395604395604394,0.0,0.0
Mesopelagic fish,0.08999999999999998,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18367346938775506,0.0,0.0,0.09,0.0,0.08999999999999998,0.0,0.0,0.09999999999999998,0.0,0.15,0.0,0.11999999999999997,0.25146198830409355,0.0,0.1473684210526316,0.0,0.0,0.09999999999999998,0.20879120879120872,0.059999999999999984,0.0
Nanoplankton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Detritus,0.0,0.0,0.059999999999999984,0.0,0.0,0.0,0.0,0.010204081632653059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.27999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Macrozoobenthos,0.0,0.05825242718446601,0.0,0.24999999999999994,0.05,0.0,0.0,0.07142857142857142,0.0,0.08695652173913043,0.039999999999999994,0.09999999999999998,0.0,0.0,0.1020408163265306,0.0,0.0,0.03,0.05,0.10999999999999997,0.0,0.0,0.019999999999999997,0.0,0.08,0.0,0.06999999999999999,0.13157894736842105,0.0,0.049999999999999996,0.0,0.1,0.06999999999999999,0.2197802197802197,0.09999999999999998,0.0
Nano-Picoplankton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040816326530612235,0.0,0.0,0.14999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benthic infaunal carnivores,0.0,0.014563106796116502,0.059999999999999984,0.06999999999999999,0.0,0.0,0.0,0.07142857142857142,0.0,0.07246376811594205,0.04999999999999999,0.07999999999999999,0.0,0.0,0.030612244897959176,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005847953216374269,0.0,0.0,0.0,0.0,0.0,0.04395604395604394,0.0,0.0
