,Jellyfish,Herbivorous demersal fish,Baleen whales,Pinnipeds,Macrozoobenthos,Planktivores,Mesopelagic fish,Shallow demersal fish,Piscivores,Cephalopods,Benthic grazers,Prawns,Larvaceans,Mesozooplankton,Detritus,Nano-Picoplankton,Benthic carnivores,Meiobenthos,Pelagic sharks,Deposit feeders,Toothed whales and dolphins,Oceanic piscivorous fish,Seagrass,Microzooplankton,Demersal sharks,Nanoplankton,Microplankton,Benthivores,Marine reptiles,Macroalgae,Seabirds,Deep demersal fish,Skates and rays,Bacteria,Benthic infaunal carnivores,Benthic filter feeders
Jellyfish,0.0,0.03,0.0,0.0,0.039999999999999994,0.0,0.008547008547008546,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.05813953488372093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0
Herbivorous demersal fish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baleen whales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pinnipeds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039999999999999994,0.0,0.029999999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0
Macrozoobenthos,0.0,0.1,0.05,0.059999999999999984,0.06999999999999999,0.24,0.08547008547008546,0.0,0.029999999999999992,0.0,0.0,0.11,0.0,0.04,0.0,0.0,0.0697674418604651,0.0,0.039999999999999994,0.0,0.0,0.052924791086350974,0.0,0.0,0.12,0.0,0.0,0.12,0.22,0.0,0.09999999999999998,0.09999999999999998,0.19999999999999996,0.0,0.08823529411764705,0.05
Planktivores,0.0,0.04,0.2,0.07999999999999999,0.0,0.0,0.017094017094017092,0.0,0.059999999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06999999999999999,0.0,0.06999999999999999,0.09470752089136492,0.2,0.0,0.04,0.0,0.0,0.01,0.0,0.0,0.06999999999999999,0.07999999999999999,0.0,0.0,0.0,0.0
Mesopelagic fish,0.0,0.0,0.15,0.27999999999999997,0.0,0.0,0.15384615384615383,0.0,0.08999999999999998,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999998,0.0,0.08999999999999998,0.15598885793871867,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.059999999999999984,0.17999999999999997,0.18999999999999995,0.0,0.0,0.0
Shallow demersal fish,0.0,0.0,0.0,0.14999999999999997,0.019999999999999997,0.0,0.017094017094017092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07999999999999999,0.0,0.27999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.08,0.0,0.0,0.039999999999999994,0.039999999999999994,0.0,0.0,0.0
Piscivores,0.0,0.0,0.0,0.04999999999999999,0.0,0.0,0.017094017094017092,0.0,0.04999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.059999999999999984,0.058495821727019504,0.3,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.3499999999999999,0.059999999999999984,0.0,0.0,0.0,0.0
Cephalopods,0.0,0.0,0.1,0.30999999999999994,0.0,0.0,0.05128205128205127,0.0,0.059999999999999984,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.14999999999999997,0.0,0.23999999999999994,0.1392757660167131,0.1,0.0,0.25,0.0,0.0,0.0,0.05,0.0,0.19999999999999996,0.06999999999999999,0.04999999999999999,0.0,0.0,0.0
