,Skates and rays,Cephalopods,Planktivores,Toothed whales and dolphins,Oceanic piscivorous fish,Benthic filter feeders,Deposit feeders,Microzooplankton,Benthivores,Macrozoobenthos,Demersal sharks,Seagrass,Mesopelagic fish,Nanoplankton,Benthic carnivores,Jellyfish,Prawns,Mesozooplankton,Benthic infaunal carnivores,Larvaceans,Meiobenthos,Pelagic sharks,Marine reptiles,Benthic grazers,Detritus,Herbivorous demersal fish,Piscivores,Microplankton,Macroalgae,Shallow demersal fish,Deep demersal fish,Pinnipeds,Nano-Picoplankton,Baleen whales,Bacteria,Seabirds
Skates and rays,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cephalopods,0.039999999999999994,0.0,0.0,0.23999999999999994,0.1366120218579235,0.0,0.0,0.0,0.0,0.0,0.2,0.10000000000000002,0.03,0.0,0.0,0.0,0.029999999999999992,0.0,0.0,0.0,0.0,0.2,0.02,0.0,0.0,0.0,0.06185567010309277,0.0,0.0,0.0,0.13,0.30999999999999994,0.0,0.08,0.0,0.15
Planktivores,0.0,0.0,0.019999999999999997,0.06999999999999999,0.09289617486338798,0.0,0.0,0.0,0.01,0.0,0.08,0.20000000000000004,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.06,0.06999999999999999,0.0,0.2,0.0,0.07
Toothed whales and dolphins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.020618556701030924,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.02
Oceanic piscivorous fish,0.019999999999999997,0.0,0.0,0.07999999999999999,0.2650273224043716,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.10309278350515462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
Benthic filter feeders,0.029999999999999992,0.0,0.06999999999999999,0.0,0.01092896174863388,0.02,0.06,0.0,0.05,0.17,0.01,0.0,0.43,0.0,0.19791666666666663,0.0,0.019999999999999997,0.03,0.05882352941176469,0.0,0.0,0.0,0.15,0.11,0.0,0.19,0.07216494845360824,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0
Deposit feeders,0.04999999999999999,0.0,0.039999999999999994,0.0,0.0,0.0,0.06,0.0,0.04,0.05,0.0,0.0,0.0,0.0,0.07291666666666666,0.0,0.039999999999999994,0.0,0.14705882352941174,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0
Microzooplankton,0.019999999999999997,0.0,0.09999999999999998,0.0,0.0,0.02,0.75,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.029999999999999992,0.16,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benthivores,0.039999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Macrozoobenthos,0.19999999999999996,0.0,0.11999999999999997,0.019999999999999997,0.05191256830601093,0.05,0.0,0.0,0.12,0.04,0.15,0.0,0.05,0.0,0.10416666666666666,0.0,0.10999999999999997,0.08,0.08823529411764704,0.0,0.0,0.0,0.17,0.02,0.0,0.12,0.0824742268041237,0.0,0.0,0.0,0.12,0.07999999999999999,0.0,0.1,0.0,0.03
Demersal sharks,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
Seagrass,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.03,0.0,0.01,0.010309278350515462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
