,Macrozoobenthos,Mesozooplankton,Mesopelagic fish,Oceanic piscivorous fish,Microalgae,Seabirds,Nanoplankton,Jellyfish,Pelagic sharks,Larvaceans,Deposit feeders,Benthivores,Benthic carnivores,Shallow demersal fish,Piscivores,Benthic grazers,Baleen whales,Seagrass,Toothed whales and dolphins,Demersal sharks,Prawns,Deep demersal fish,Marine reptiles,Macroalgae,Meiobenthos,Microplankton,Cephalopods,Detritus,Microzooplankton,Herbivorous demersal fish,Nano-Picoplankton,Benthic filter feeders,Pinnipeds,Bacteria,Benthic infaunal carnivores,Skates and rays,Planktivores
Macrozoobenthos,0.06999999999999999,0.039999999999999994,0.09251471825063079,0.0375,0.0,0.07317073170731704,0.0,0.040871934604904625,0.02083333333333333,0.0,0.0,0.11999999999999994,0.029850746268656712,0.07999999999999999,0.053999999999999986,0.02,0.1,0.0,0.040816326530612235,0.28,0.09999999999999998,0.1,0.11999999999999997,0.0,0.04,0.0,0.13999999999999999,0.0,0.0,0.1,0.039999999999999994,0.02,0.09999999999999998,0.0,0.11235955056179775,0.08,0.03
Mesozooplankton,0.10999999999999997,0.22999999999999995,0.6097560975609757,0.18749999999999997,0.0,0.07317073170731704,0.0,0.6675749318801089,0.02083333333333333,0.0,0.0,0.15999999999999992,0.07960199004975124,0.22999999999999995,0.19999999999999996,0.03,0.45,0.3,0.0510204081632653,0.12,0.18999999999999995,0.12,0.07999999999999999,0.0,0.41,0.0,0.12999999999999998,0.0,0.010050251256281405,0.26,0.32999999999999996,0.28,0.019999999999999997,0.0,0.1685393258426966,0.05,0.35
Mesopelagic fish,0.0,0.0,0.23549201009251478,0.16,0.0,0.07317073170731704,0.0,0.0,0.0,0.0,0.0,0.03999999999999998,0.0,0.019999999999999997,0.23999999999999994,0.0,0.25,0.0,0.11224489795918365,0.11,0.12999999999999998,0.21,0.0,0.0,0.0,0.0,0.15999999999999998,0.0,0.0,0.0,0.0,0.0,0.12999999999999998,0.0,0.0,0.49,0.0
Oceanic piscivorous fish,0.0,0.0,0.0,0.22249999999999998,0.0,0.04878048780487803,0.0,0.0,0.26041666666666663,0.0,0.0,0.0,0.0,0.0,0.09999999999999998,0.0,0.04,0.0,0.09183673469387753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0
Microalgae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seabirds,0.0,0.0,0.0,0.0,0.0,0.08536585365853656,0.0,0.0,0.02083333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040816326530612235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0
Nanoplankton,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.02010050251256281,0.0,0.039999999999999994,0.0,0.0,0.0,0.0,0.0,0.0
Jellyfish,0.0,0.0,0.0008410428931875527,0.0,0.0,0.03658536585365852,0.0,0.03542234332425068,0.0,0.0,0.0,0.03999999999999998,0.009950248756218905,0.009999999999999998,0.005999999999999998,0.0,0.0,0.0,0.0,0.01,0.019999999999999997,0.0,0.24999999999999994,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.056179775280898875,0.0,0.01
Pelagic sharks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040816326530612235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Larvaceans,0.0,0.0,0.010513036164844409,0.0,0.0,0.0,0.0,0.0027247956403269754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
