,Pinnipeds,Microplankton,Macrozoobenthos,Larvaceans,Pelagic sharks,Jellyfish,Bacteria,Benthic grazers,Deep demersal fish,Prawns,Macroalgae,Demersal sharks,Baleen whales,Deposit feeders,Mesopelagic fish,Seabirds,Piscivores,Benthic carnivores,Microzooplankton,Nano-Picoplankton,Mesozooplankton,Toothed whales and dolphins,Benthic filter feeders,Marine reptiles,Skates and rays,Oceanic piscivorous fish,Benthivores,Herbivorous demersal fish,Shallow demersal fish,Cephalopods,Meiobenthos,Nanoplankton,Planktivores,Microalgae,Seagrass,Benthic infaunal carnivores,Detritus
Pinnipeds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Microplankton,0.0,0.787878787878788,0.15463917525773196,0.8,0.0,0.15718157181571815,0.0,0.0,0.0,0.04999999999999999,0.0,0.0,0.0,0.06999999999999999,0.006944444444444445,0.0,0.0,0.23404255319148926,0.5841584158415841,0.18999999999999995,0.17,0.0,0.4299999999999999,0.0,0.0,0.009999999999999998,0.06965174129353234,0.0,0.0,0.01,0.35,0.0,0.267,0.0,0.0,0.13157894736842105,0.0
Macrozoobenthos,0.12,0.0,0.030927835051546393,0.0,0.01,0.04065040650406503,0.0,0.0049751243781094535,0.15,0.09999999999999998,0.0,0.27999999999999997,0.15,0.0,0.05555555555555556,0.04132231404958678,0.054108216432865716,0.06382978723404252,0.0,0.039999999999999994,0.15,0.04999999999999999,0.029999999999999992,0.35,0.14999999999999997,0.04999999999999999,0.14925373134328357,0.029999999999999992,0.13223140495867763,0.04,0.04,0.0,0.023,0.0,0.0,0.11842105263157894,0.0
Larvaceans,0.0,0.0,0.0,0.0,0.0,0.0027100271002710023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06944444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0
Pelagic sharks,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jellyfish,0.0,0.0,0.0,0.0,0.0,0.035230352303523026,0.0,0.0,0.0,0.029999999999999992,0.0,0.0,0.0,0.0,0.006944444444444445,0.0011806375442739079,0.016032064128256508,0.04255319148936169,0.0,0.0,0.0,0.0,0.019999999999999997,0.08,0.0,0.0,0.0,0.029999999999999992,0.016528925619834704,0.01,0.0,0.0,0.009,0.0,0.0,0.0,0.0
Bacteria,0.0,0.0,0.2268041237113402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32673267326732675,0.06999999999999999,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.25,0.006,0.0,0.0,0.0,0.0
Benthic grazers,0.0,0.0,0.010309278350515464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02805611222444889,0.05319148936170211,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.13930348258706468,0.0,0.016528925619834704,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deep demersal fish,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.1,0.0,0.0,0.23999999999999994,0.04,0.0,0.01388888888888889,0.0,0.020040080160320637,0.021276595744680844,0.0,0.0,0.0,0.04999999999999999,0.0,0.0,0.029999999999999992,0.0,0.01990049751243781,0.0,0.03305785123966941,0.02,0.01,0.0,0.0,0.0,0.1,0.0,0.0
Prawns,0.07,0.0,0.0,0.0,0.0,0.0027100271002710023,0.0,0.0,0.06,0.039999999999999994,0.0,0.039999999999999994,0.0,0.0,0.041666666666666664,0.0,0.01803607214428857,0.0,0.0,0.0,0.0,0.019999999999999997,0.019999999999999997,0.0,0.019999999999999997,0.029999999999999992,0.01990049751243781,0.019999999999999997,0.0,0.01,0.0,0.0,0.011,0.0,0.0,0.0,0.0
Macroalgae,0.0,0.010101010101010102,0.0,0.0,0.0,0.0,0.0,0.41791044776119407,0.0,0.14999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04255319148936169,0.0049504950495049506,0.0,0.01,0.0,0.039999999999999994,0.034,0.0,0.0,0.029850746268656712,0.14999999999999997,0.03305785123966941,0.0,0.0,0.25,0.008,0.0,0.0,0.0,0.0
Demersal sharks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
Baleen whales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit feeders,0.0,0.0,0.041237113402061855,0.0,0.0,0.016260162601626015,0.0,0.0,0.0,0.06999999999999999,0.0,0.0,0.0,0.039999999999999994,0.0,0.0,0.0,0.04255319148936169,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.07999999999999999,0.0,0.07960199004975124,0.09999999999999998,0.04958677685950411,0.0,0.0,0.0,0.0,0.0,0.0,0.15789473684210525,0.0
Mesopelagic fish,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.12999999999999998,0.0,0.10999999999999997,0.25,0.0,0.1527777777777778,0.0,0.24048096192384763,0.0,0.0,0.0,0.0,0.10999999999999997,0.0,0.01,0.4899999999999999,0.27999999999999997,0.11940298507462685,0.0,0.03305785123966941,0.16,0.0,0.0,0.016,0.0,0.0,0.0,0.0
Seabirds,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08264462809917356,0.0,0.0,0.0,0.0,0.0,0.039999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Piscivores,0.35,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.03,0.0,0.0,0.019999999999999997,0.01,0.0,0.11111111111111112,0.20661157024793386,0.13026052104208413,0.0,0.0,0.0,0.0,0.07999999999999999,0.0,0.01,0.0,0.07999999999999999,0.0,0.0,0.03305785123966941,0.0,0.01,0.0,0.0,0.0,0.3,0.0,0.0
Benthic carnivores,0.08,0.0,0.010309278350515464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029999999999999992,0.0,0.0,0.0,0.31050767414403774,0.0,0.03191489361702126,0.0,0.0,0.0,0.009999999999999998,0.0,0.01,0.0,0.0,0.0,0.0,0.016528925619834704,0.52,0.0,0.0,0.0,0.0,0.0,0.09210526315789475,0.0
Microzooplankton,0.0,0.020202020202020204,0.010309278350515464,0.11,0.0,0.010840108401084009,0.0,0.009950248756218907,0.0,0.019999999999999997,0.0,0.0,0.0,0.7499999999999999,0.0,0.0,0.0,0.03191489361702126,0.0,0.0,0.02,0.0,0.04999999999999999,0.0,0.0,0.0,0.01990049751243781,0.04999999999999999,0.008264462809917352,0.0,0.01,0.0,0.28,0.0,0.0,0.0,0.0
