,Detritus,Deposit feeders,Benthic carnivores,Cephalopods,Planktivores,Benthic grazers,Benthic filter feeders,Jellyfish,Shallow demersal fish,Oceanic piscivorous fish,Macrozoobenthos,Prawns,Pinnipeds,Piscivores,Mesozooplankton,Seabirds,Bacteria,Demersal sharks,Herbivorous demersal fish,Microplankton,Marine reptiles,Nanoplankton,Benthic infaunal carnivores,Larvaceans,Nano-Picoplankton,Baleen whales,Macroalgae,Seagrass,Benthivores,Deep demersal fish,Skates and rays,Pelagic sharks,Mesopelagic fish,Microzooplankton,Microalgae,Toothed whales and dolphins,Meiobenthos
Detritus,0.0,0.4,0.0,0.0,0.0,0.41,0.05555555555555554,0.0,0.0,0.0,0.2061855670103093,0.0,0.0,0.0,0.0,0.17021276595744678,0.75,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.32999999999999996,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08
Deposit feeders,0.0,0.0,0.07526881720430105,0.0,0.0,0.0,0.0,0.01634877384196185,0.04687499999999998,0.0,0.041237113402061855,0.059999999999999984,0.0,0.019230769230769225,0.0,0.0,0.0,0.0,0.010638297872340424,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.03999999999999998,0.0,0.14999999999999997,0.0,0.0,0.0,0.0,0.0,0.0
Benthic carnivores,0.0,0.0,0.03225806451612902,0.029999999999999985,0.012,0.0,0.0,0.0,0.015624999999999995,0.0,0.010309278350515464,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.01999999999999999,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cephalopods,0.0,0.0,0.0,0.03999999999999998,0.0,0.0,0.0,0.0,0.0,0.14876033057851237,0.0,0.06999999999999999,0.12999999999999998,0.019230769230769225,0.0,0.11347517730496454,0.0,0.07,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.15,0.06999999999999999,0.05,0.01,0.0,0.0,0.2526315789473684,0.0
Planktivores,0.0,0.0,0.03225806451612902,0.06999999999999998,0.0,0.0,0.0,0.0,0.04687499999999998,0.0771349862258953,0.0,0.0,0.09999999999999998,0.09615384615384613,0.0,0.05673758865248227,0.0,0.02,0.021276595744680847,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.029999999999999985,0.06,0.0,0.02,0.0,0.0,0.0,0.09473684210526313,0.0
Benthic grazers,0.0,0.0,0.053763440860215034,0.04999999999999998,0.0,0.0,0.0,0.0,0.015624999999999995,0.0,0.020618556701030927,0.0,0.0,0.019230769230769225,0.0,0.0,0.0,0.0,0.010638297872340424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benthic filter feeders,0.0,0.0,0.18279569892473113,0.13999999999999996,0.008,0.11,0.04166666666666665,0.0027247956403269754,0.015624999999999995,0.011019283746556472,0.13402061855670103,0.07999999999999999,0.0,0.019230769230769225,0.05,0.0,0.0,0.02,0.20212765957446804,0.0,0.15,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.14999999999999994,0.08,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0
Jellyfish,0.0,0.0,0.053763440860215034,0.029999999999999985,0.009,0.0,0.0,0.03542234332425068,0.015624999999999995,0.011019283746556472,0.0,0.029999999999999992,0.0,0.019230769230769225,0.0,0.014184397163120567,0.0,0.01,0.03191489361702127,0.0,0.35,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.01999999999999999,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0
Shallow demersal fish,0.0,0.0,0.0,0.01999999999999999,0.0,0.0,0.0,0.0,0.04687499999999998,0.0,0.0,0.0,0.07999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.019999999999999997,0.0,0.09,0.0,0.0,0.04210526315789473,0.0
Oceanic piscivorous fish,0.0,0.0,0.0,0.05999999999999997,0.0,0.0,0.0,0.0,0.0,0.2451790633608815,0.0,0.0,0.059999999999999984,0.09615384615384613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.10526315789473682,0.0
