,Seagrass,Deposit feeders,Planktivores,Microplankton,Bacteria,Microalgae,Macrozoobenthos,Oceanic piscivorous fish,Shallow demersal fish,Meiobenthos,Nanoplankton,Prawns,Nano-Picoplankton,Microzooplankton,Skates and rays,Herbivorous demersal fish,Seabirds,Benthic filter feeders,Jellyfish,Macroalgae,Marine reptiles,Pelagic sharks,Toothed whales and dolphins,Piscivores,Mesopelagic fish,Larvaceans,Benthic carnivores,Demersal sharks,Benthivores,Benthic grazers,Detritus,Mesozooplankton,Baleen whales,Pinnipeds,Benthic infaunal carnivores,Cephalopods,Deep demersal fish
Seagrass,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.009950248756218905,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deposit feeders,0.0,0.0,0.0,0.0,0.0,0.0,0.08421052631578944,0.0,0.019999999999999997,0.0,0.0,0.059999999999999984,0.0,0.0,0.09803921568627451,0.05,0.0,0.0,0.016304347826086956,0.0,0.0,0.0,0.0,0.014705882352941173,0.0,0.0,0.05999999999999997,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.14457831325301204,0.0,0.0
Planktivores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.029999999999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.1,0.0,0.0,0.0,0.0,0.0,0.06999999999999999,0.07352941176470587,0.0,0.0,0.01999999999999999,0.058823529411764705,0.0,0.0,0.0,0.0,0.06,0.09999999999999998,0.0,0.061224489795918345,0.04999999999999999
Microplankton,0.0,0.1,0.267,0.78,0.1,0.0,0.1578947368421052,0.0,0.0,0.35,0.0,0.04999999999999999,0.18999999999999995,0.59,0.0,0.0,0.0,0.4299999999999999,0.1576086956521739,0.0,0.0,0.0,0.0,0.0,0.0049504950495049506,0.8,0.2199999999999999,0.0,0.148,0.0,0.0,0.17,0.0,0.0,0.12048192771084337,0.010204081632653059,0.0
Bacteria,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.25,0.0,0.06999999999999999,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0
Microalgae,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Macrozoobenthos,0.0,0.0,0.023,0.0,0.0,0.0,0.07368421052631577,0.06,0.06999999999999999,0.04,0.0,0.09999999999999998,0.039999999999999994,0.0,0.14705882352941177,0.1,0.06,0.039999999999999994,0.040760869565217385,0.0,0.0967741935483871,0.059999999999999984,0.059999999999999984,0.04411764705882352,0.039603960396039604,0.0,0.06999999999999998,0.08823529411764705,0.056,0.004975124378109453,0.0,0.1,0.1,0.11999999999999997,0.12048192771084337,0.08163265306122447,0.14999999999999997
Oceanic piscivorous fish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27999999999999997,0.07999999999999999,0.07352941176470587,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.06999999999999999,0.0,0.040816326530612235,0.0
Shallow demersal fish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.029999999999999992,0.014705882352941173,0.0891089108910891,0.0,0.01999999999999999,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.10999999999999997,0.0,0.010204081632653059,0.06999999999999999
Meiobenthos,0.0,0.07,0.0,0.0,0.0,0.0,0.052631578947368404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02445652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029999999999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08433734939759036,0.0,0.0
Nanoplankton,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.039999999999999994,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prawns,0.0,0.0,0.011,0.0,0.0,0.0,0.03157894736842104,0.0,0.009999999999999998,0.0,0.0,0.039999999999999994,0.0,0.0,0.029411764705882353,0.0,0.06,0.019999999999999997,0.0027173913043478256,0.0,0.06451612903225806,0.0,0.019999999999999997,0.014705882352941173,0.0297029702970297,0.0,0.0,0.029411764705882353,0.008,0.0,0.0,0.0,0.0,0.039999999999999994,0.0,0.010204081632653059,0.039999999999999994
Nano-Picoplankton,0.0,0.0,0.0,0.08,0.0,0.0,0.03157894736842104,0.0,0.0,0.0,0.25,0.019999999999999997,0.0,0.04,0.0,0.0,0.0,0.059999999999999984,0.0027173913043478256,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
Microzooplankton,0.0,0.2,0.28,0.02,0.0,0.0,0.04210526315789472,0.0,0.004999999999999999,0.01,0.0,0.019999999999999997,0.0,0.0,0.0,0.08,0.0,0.04999999999999999,0.010869565217391302,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.029999999999999985,0.0,0.0,0.009950248756218905,0.0,0.17,0.0,0.0,0.07228915662650602,0.010204081632653059,0.0
Skates and rays,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11999999999999997,0.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0
Herbivorous demersal fish,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014705882352941173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Seabirds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.019999999999999997,0.019999999999999997,0.007352941176470586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059999999999999984,0.0,0.0,0.0
